NameYear,bibcode,ads_url,notes
Decarli2018,2018ApJ...854...97D,https://ui.adsabs.harvard.edu/abs/2018ApJ...854...97D/abstract,
Eilers2020,2020ApJ...900...37E,https://ui.adsabs.harvard.edu/abs/2020ApJ...900...37E/abstract,
Eilers2020erratum,2021ApJ...914...74E,https://ui.adsabs.harvard.edu/abs/2021ApJ...914...74E/abstract,
Endsley2023,2023MNRAS.520.4609E,https://ui.adsabs.harvard.edu/abs/2023MNRAS.520.4609E/abstract,
Fan2000,2000AJ....120.1167F,https://ui.adsabs.harvard.edu/abs/2000AJ....120.1167F/abstract,
Fan2001,2001AJ....122.2833F,https://ui.adsabs.harvard.edu/abs/2001AJ....122.2833F/abstract,
Fan2003,2003AJ....125.1649F,https://ui.adsabs.harvard.edu/abs/2003AJ....125.1649F/abstract,
Fan2004,2004AJ....128..515F,https://ui.adsabs.harvard.edu/abs/2004AJ....128..515F/abstract,
Fan2006a,2006AJ....131.1203F,https://ui.adsabs.harvard.edu/abs/2006AJ....131.1203F/abstract,
Fan2019,2019ApJ...870L..11F,https://ui.adsabs.harvard.edu/abs/2019ApJ...870L..11F/abstract,
Farina2022,2022arXiv220705113F,https://ui.adsabs.harvard.edu/abs/2022arXiv220705113F/abstract,
Fujimoto2022,2022Natur.604..261F,https://ui.adsabs.harvard.edu/abs/2022Natur.604..261F/abstract,
Gloudemans2022,2022A&A...668A..27G,https://ui.adsabs.harvard.edu/abs/2022A%26A...668A..27G/abstract,
Goto2006,2006MNRAS.371..769G,https://ui.adsabs.harvard.edu/abs/2006MNRAS.371..769G/abstract,
Harikane2020,2020ApJ...896...93H,https://ui.adsabs.harvard.edu/abs/2020ApJ...896...93H/abstract,
Ighina2023,2023MNRAS.519.2060I,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.2060I/abstract,
Ighina2024,2024A&A...687A.242I,https://ui.adsabs.harvard.edu/abs/2024A%26A...687A.242I/abstract,
Ighina2025,2025A&A...698A.158I,https://ui.adsabs.harvard.edu/abs/2025arXiv250410573I/abstract,
Izumi2018,2018PASJ...70...36I,https://ui.adsabs.harvard.edu/abs/2018PASJ...70...36I/abstract,
Izumi2019,2019PASJ...71..111I,https://ui.adsabs.harvard.edu/abs/2019PASJ...71..111I/abstract,
Izumi2021a,2021ApJ...908..235I,https://ui.adsabs.harvard.edu/abs/2021ApJ...908..235I/abstract,
Izumi2021b,2021ApJ...914...36I,https://ui.adsabs.harvard.edu/abs/2021ApJ...914...36I/abstract,
Izumi2024,2024ApJ...972..116I,https://ui.adsabs.harvard.edu/abs/2024ApJ...972..116I/abstract,
Jiang2008,2008AJ....135.1057J,https://ui.adsabs.harvard.edu/abs/2008AJ....135.1057J/abstract,
Jiang2009,2009AJ....138..305J,https://ui.adsabs.harvard.edu/abs/2009AJ....138..305J/abstract,
Jiang2015,2015AJ....149..188J,https://ui.adsabs.harvard.edu/abs/2015AJ....149..188J/abstract,
Jiang2016,2016ApJ...833..222J,https://ui.adsabs.harvard.edu/abs/2016ApJ...833..222J/abstract,
Kashikawa2015,2015ApJ...798...28K,https://ui.adsabs.harvard.edu/abs/2015ApJ...798...28K/abstract,
Khorunzhev2021,2021AstL...47..123K,https://ui.adsabs.harvard.edu/abs/2021AstL...47..123K/abstract,
Khusanova2022,2022A&A...664A..39K,https://ui.adsabs.harvard.edu/abs/2022arXiv220408973K/abstract,
Kim2015,2015ApJ...813L..35K,https://ui.adsabs.harvard.edu/abs/2015ApJ...813L..35K/abstract,
Kim2019,2019ApJ...870...86K,https://ui.adsabs.harvard.edu/abs/2019ApJ...870...86K/abstract,
Kim2022,2022AJ....164..114K,https://ui.adsabs.harvard.edu/abs/2022AJ....164..114K/abstract,
Li2024,2024ApJ...962..119L,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..119L/abstract,
Lyke2020,2020ApJS..250....8L,https://ui.adsabs.harvard.edu/abs/2020ApJS..250....8L/abstract,SDSS DR16Q
Mahabal2005,2005ApJ...634L...9M,https://ui.adsabs.harvard.edu/abs/2005ApJ...634L...9M/abstract,
Martinez-Ramirez2026,2026arXiv260308830M,https://ui.adsabs.harvard.edu/abs/2026arXiv260308830M/abstract,
Masters2012,2012ApJ...755..169M,https://ui.adsabs.harvard.edu/abs/2012ApJ...755..169M/abstract,One z=5.3 quasar with zspec but no spectrum shown in the paper. We could not get a hold of the spectrum.
Matsuoka2016,2016ApJ...828...26M,https://ui.adsabs.harvard.edu/abs/2016ApJ...828...26M/abstract,SHELLQS I
Matsuoka2018a,2018PASJ...70S..35M,https://ui.adsabs.harvard.edu/abs/2018PASJ...70S..35M/abstract,
Matsuoka2018b,2018ApJS..237....5M,https://ui.adsabs.harvard.edu/abs/2018ApJS..237....5M/abstract,
Matsuoka2019a,2019ApJ...883..183M,https://ui.adsabs.harvard.edu/abs/2019ApJ...883..183M/abstract,
Matsuoka2019b,2019ApJ...872L...2M,https://ui.adsabs.harvard.edu/abs/2019ApJ...872L...2M/abstract,
Matsuoka2022,2022ApJS..259...18M,https://ui.adsabs.harvard.edu/abs/2022ApJS..259...18M/abstract,
Matsuoka2024,2024ApJ...965L...4M,https://ui.adsabs.harvard.edu/abs/2024ApJ...965L...4M/abstract,
Matsuoka2025,2025ApJS..280...68M,https://ui.adsabs.harvard.edu/abs/2025ApJS..280...68M/abstract,SHELLQS XXIV
Matsuoka2025b,2025ApJ...988...57M,https://ui.adsabs.harvard.edu/abs/2025ApJ...988...57M/abstract,
