name,ra_deg,dec_deg,redshift,m1450,M1450,disc_ref,disc_bibcode,redshift_ref,redshift_bibcode
J020546.63-095523.70,31.444292,-9.92325,5.37,23.29,-23.23,McGreer2018,2018AJ....155..131M,McGreer2018,2018AJ....155..131M
J102813.43+380919.27,157.055941,38.155353,5.37,20.56,-25.96,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J164854.53+460327.40,252.227208,46.057611,5.36,19.51,-27.0,Caccianiga2019,2019MNRAS.484..204C,Caccianiga2019,2019MNRAS.484..204C
J030128.15-061959.03,45.367299,-6.333063,5.36,21.27,-25.24,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J000503.75+214506.16,1.265615,21.751712,5.36,19.76,-26.75,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J085028.16-050606.90,132.617333,-5.101917,5.357,22.61,-23.9,Kim2019,2019ApJ...870...86K,Kim2019,2019ApJ...870...86K
J192600.92-314202.60,291.503833,-31.700722,5.35,18.83,-27.68,Onken2022,2022MNRAS.511..572O,Onken2022,2022MNRAS.511..572O
J153353.25+224718.41,233.471863,22.788447,5.35,19.96,-26.55,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J141956.59+571840.40,214.985792,57.311222,5.35,20.74,-25.77,McGreer2018;Gloudemans2022,2018AJ....155..131M;2022A&A...668A..27G,Gloudemans2022,2022A&A...668A..27G
J082933.10+250645.60,127.387917,25.112667,5.35,19.6,-26.91,Yang2017,2017AJ....153..184Y,Yang2017,2017AJ....153..184Y
J134040.24+281328.16,205.167677,28.224488,5.349,19.45,-27.06,Lyke2020,2020ApJS..250....8L,Zhu2023,2023ApJ...955..115Z
J001835.00+081559.46,4.64585,8.266517,5.34,21.05,-25.46,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J164314.00+001101.16,250.808337,0.183657,5.34,20.55,-25.96,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J105727.60-175831.70,164.365,-17.975472,5.34,20.1,-26.41,Yang2019a,2019ApJ...871..199Y,Yang2019a,2019ApJ...871..199Y
J163838.87+395326.03,249.661973,39.890563,5.34,20.6,-25.91,Yang2023,2023ApJS..269...27Y,Yang2023,2023ApJS..269...27Y
J165635.47+454113.53,254.147806,45.687091,5.336,18.94,-27.57,Wang2016,2016ApJ...819...24W,Zhu2023,2023ApJ...955..115Z
